# pwn name, snr name, distance (deg),rad pwn (deg), rad snr (deg), flux ratio (pwn/snr)
pwn2725, snr_2726, 3.645249242753623e-06, 0.01505252363143688 , 0.24883, 0.12786324023124696
pwn2734, snr_2735, 3.778153617429608e-06, 0.023204548015559344 , 0.15553, 0.17888645072127454
pwn528, snr_2740, 0.3185785042334762, 0.1001263401268989 , 0.25244, 0.05019457959491157
pwn2750, snr_2751, 5.162082148417431e-06, 0.040303104029963704 , 0.219, 20.227712865450272
pwn2788, snr_2789, 4.538257063690781e-06, 0.03335845341592543 , 0.11572, 15.129322355417955
pwn2808, snr_2809, 5.570749631981868e-06, 0.03912383599666647 , 0.08235, 9.598692580365329
pwn2815, snr_2816, 4.6297728277038335e-06, 0.05324898615923244 , 0.20324, 4.017769969744556
pwn2848, snr_2849, 3.2125875587363053e-06, 0.04554426501540029 , 0.31253000000000003, 3.662904381128886
pwn2917, snr_2918, 4.490746154735687e-06, 0.02346942225108325 , 0.43474999999999997, 0.02179410224476279
pwn2919, snr_2920, 7.66954804328064e-07, 0.017816001746972048 , 0.10151, 1.751603142331674
pwn2932, snr_2933, 3.3740822132563894e-06, 0.039020270197252516 , 0.20405, 1.9868154588457299
pwn2934, snr_2935, 1.3957565805032503e-06, 0.13006562577189631 , 0.75629, 0.37179551734274247
