id,ra,dec,rad,tmin,duration,caldb,irf,emin,emax
000076,212.1686,-62.5225,  5.0000,663120000.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000077,212.4872,-62.4768,  5.0000,663121920.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000078,212.8048,-62.4304,  5.0000,663123840.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000079,213.1214,-62.3832,  5.0000,663125760.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000080,213.4370,-62.3354,  5.0000,663127680.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000081,213.7516,-62.2869,  5.0000,663129600.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000082,214.0653,-62.2376,  5.0000,663131520.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000083,214.3778,-62.1877,  5.0000,663133440.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000084,214.6894,-62.1370,  5.0000,663135360.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000085,214.9999,-62.0857,  5.0000,663137280.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000086,215.3093,-62.0337,  5.0000,663139200.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000087,215.6177,-61.9810,  5.0000,663141120.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000088,215.9251,-61.9276,  5.0000,663143040.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000089,216.2313,-61.8735,  5.0000,663144960.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000090,216.5365,-61.8188,  5.0000,663146880.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000091,216.8406,-61.7634,  5.0000,663148800.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000092,217.1436,-61.7073,  5.0000,663150720.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000093,217.4455,-61.6506,  5.0000,663152640.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000094,217.7462,-61.5933,  5.0000,663154560.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000095,218.0459,-61.5352,  5.0000,663206400.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
