N	filename	GLON	GLAT	R_pwn	R_pwn_deg	distance	cr_fl_01	cr_fl_1	nh	age	X	Y	Z	v_X	v_Y	v_Z	v_3d	E_sn	M_ej	l0	t0	eta	eps	ebreak	alpha1	alpha2	Tfir	Ufir	Tnir	Unir
2722	./spectra/ph_sed_pwn_2722.txt	-11.331827083031607	1.8625270411028314	13.805003886758056	0.08392790462826191	18.848746353223152	0.0002567211161815471	0.002028175963202776	0.0609059552651992	71329.44095166509	-9.971538593570141	-3.7016492082934866	0.6126126126126126	-102.52779899984068	92.54050102377329	184.45080303080064	230.42958281477212	1e+51	3.127592032872384e+34	7.962269080313879e+39	646.9182592346822	0.14809805359831074	0.14822611138526634	0.38034379070560703	1.5060111416798785	2.574451813304753	27.7900404552575	3.8978778673303316e-13	2415.064543195425	1.4406383725720868e-12
2725	./spectra/ph_sed_pwn_2725.txt	39.09622680125154	0.2918882519008969	1.548639588573144	0.01505252363143688	11.789453056950489	0.0003107208961372062	0.0002178698355021676	1.451865959023464	8469.393716420238	-0.6495335872333685	7.434623817471419	0.06006006006006004	422.2446048608138	53.69108643180137	18.87443543033385	426.06276932994973	1e+51	1.4726528602612191e+34	3.673136718493188e+36	20062.99936817314	0.10450579510923293	0.3917265685034117	0.7526418482268129	1.4640640794991981	2.677513606878059	27.06574667499438	2.3790198278166445e-12	3964.6141869313215	2.32900590373788e-12
2726	./spectra/ph_sed_pwn_2726.txt	-9.5241415071057	-3.20376161434353	16.04502161753948	0.11922459885374037	15.421493598636115	0.00016346688626268772	0.000127223703494542	0.15183127863780407	69112.23149683951	-6.685153220818562	-2.54770104292209	-0.8618618618618619	289.13120783650237	-410.2991129969605	145.92335771595359	522.7196608108263	1e+51	2.078701573344743e+34	2.0695198912451345e+40	94.27725477289387	0.07872967223541298	0.09198931301088573	0.4421348835495349	1.5073533839518476	2.262733844831295	30.22654235323971	9.327008925324509e-13	2761.3816298955835	3.1986821964699416e-12
2728	./spectra/ph_sed_pwn_2728.txt	-122.98220180098573	-2.7442223155381984	0.6933655852582922	0.04691652998535762	1.6935145386153538	0.0006794241258916872	0.032119802054828755	0.5656061634883074	21004.37635085165	9.420855649661991	-1.4189581471198824	-0.08108108108108103	194.38621192243173	-72.73751977241955	59.45784093827253	215.89808016107185	1e+51	1.607995826929075e+34	4.206770423462338e+37	2353.786204238108	0.11988776152277004	0.41595095918018615	0.344469791414913	1.3186590415157984	2.1578807684942274	30.890068317719976	9.010732281892087e-13	3717.3052920824	1.6368157707328471e-12
2733	./spectra/ph_sed_pwn_2733.txt	-80.24229241720069	0.7269588594623793	7.980593156344078	0.08586076292792143	10.651057549393137	0.004718674733674662	0.0030998983359305427	0.20482247089082667	12383.048045105483	6.694981887769568	-10.49612666797884	0.1351351351351352	-150.89927642017216	73.46641867274465	22.729720918025823	169.36512778533208	1e+51	3.1214828206284725e+34	3.450609873366774e+38	837.2313015845316	0.0989465571952532	0.5378711849510867	0.7398440001142109	1.401672139340638	2.167531004915289	32.09455457168669	3.357097298317255e-13	2152.5153715550478	5.940477263152452e-13
2734	./spectra/ph_sed_pwn_2734.txt	-13.601483302037542	-1.6675418360263143	4.3883653521997035	0.023204548015559344	21.671165473852668	0.00019944557652708302	4.7512539258364e-05	0.026889059704265042	8733.433152447058	-12.554475520017574	-5.0941906697526536	-0.6306306306306306	-231.1261622138905	287.94633664098467	-10.940667305875822	369.3942255176477	1e+51	1.491094968395669e+34	5.1063549156982265e+35	454393.0052363637	0.13197923219040014	0.1099085506313067	0.3425830671080536	1.6618681985108792	2.1714226336356344	21.331265628134783	2.7340348190646265e-13	3259.1541553215725	4.784701827935125e-13
2736	./spectra/ph_sed_pwn_2736.txt	-36.286139016950635	0.1692981404098797	2.2402609354835508	0.022963161622269797	11.179426583332708	3.2392910562357276e-05	4.24722452289936e-05	2.677425362930213	52244.22993560112	-0.5113775744691166	-6.616159139652683	0.033033033033032955	-270.5548809196493	105.63428973029028	344.2165126512275	450.38156527331495	1e+51	2.5848805679923486e+34	5.244134910298145e+37	5681.617063951097	0.10097443036039644	0.36219314227964783	0.4740680826826283	1.6101986959985024	2.2286246357717108	22.17923004790188	2.0526227127420086e-12	2217.9215585891393	3.9583202113608965e-12
2741	./spectra/ph_sed_pwn_2741.txt	33.482758455873025	1.3486170082123385	3.7793963573523213	0.023571253718932997	18.373519775323032	0.0044667445962140815	0.0016931923424733898	0.06976961697954316	14107.512765481455	-6.820223703855816	10.133606307202852	0.4324324324324324	242.4818735355864	193.6526239964957	-89.22065884342508	322.8918142946815	1e+51	1.274441390499628e+34	2.1678226926479124e+39	139.99523219121596	0.0833388520359933	0.2967870875976221	0.7652754408025293	1.6909713947935463	2.5113879759746287	32.74973992513745	3.869078303571727e-13	2904.5614822605776	6.986428689943951e-13
2743	./spectra/ph_sed_pwn_2743.txt	-62.95372449138446	1.8551880623600994	27.911200477157607	0.24628280253474388	12.98656765938865	0.012237766049831143	0.003306917794780514	0.07861987042099669	65497.131740149816	2.597973274736564	-11.560288351777773	0.4204204204204204	-40.795808169508135	197.58123495669602	-42.420535747344815	206.16048172311824	1e+51	1.6352440402216606e+34	3.271742872243457e+38	4241.634219364018	0.11211589676362868	0.2861110804699572	0.5954413185073065	1.3907062795845406	2.111935832993494	35.99798450178719	4.045223949646675e-13	2577.6330207418105	7.948456547907989e-13
2744	./spectra/ph_sed_pwn_2744.txt	66.73550832068838	-3.2222219757797075	1.4726310529035032	0.03433260896725926	4.915183351960356	0.0002751267083628573	0.00011078874214407677	0.2738220600499076	93713.30103749274	6.5616886505137	4.508397488577039	-0.2762762762762763	-154.02996224001004	-104.5467766470707	396.8888917379062	438.3788888163923	1e+51	2.158236703697652e+34	6.246378270191115e+39	51.097227782109634	0.09311400068374344	0.22644872093620136	0.5756152638725139	1.1400240459213056	2.0032725370104267	26.647464159465084	1.3317041499173815e-12	2537.8146739962885	3.225874169812397e-12
2745	./spectra/ph_sed_pwn_2745.txt	107.27552208982317	-0.09666708107165622	1.8399597556740752	0.03948568064546402	5.339754060774559	5.245221028330026e-05	0.0002263471431121199	0.5424498726181674	52011.22186124966	10.085728241229587	5.0988585205202535	-0.009009009009009028	306.019945867285	167.03544309066444	573.5400465205734	671.1909053912548	1e+51	2.4788270224672304e+34	1.0557387996552876e+37	8633.04070385131	0.10840801547782088	0.5186730950243117	0.4127627253388544	1.1607427694610144	2.3545150755823507	26.904147485360003	2.765257299074056e-13	4916.054041962721	7.726878294528431e-13
2747	./spectra/ph_sed_pwn_2747.txt	27.195085585500646	21.51306137593184	2.4682958528251744	0.08507352069206467	3.3247203095807203	0.00018510668859819164	0.004044013389692416	0.12209009629383465	40124.81649877149	5.748824665390085	1.4136137770476842	1.2192192192192193	72.38153044013951	94.81958669842486	213.60303363048675	244.65505501964142	1e+51	2.9482986999030176e+34	6.376141363366209e+39	66.57477288113517	0.08917846010779927	0.5430842513913212	0.2731783630420543	1.5912921200305767	2.4813273751799785	29.453887246615796	1.589669911169242e-12	3517.631704890804	4.255716128344208e-12
2750	./spectra/ph_sed_pwn_2750.txt	37.805667572717354	-5.652914555808551	2.048000680803228	0.040303104029963704	5.822964703117687	0.03239639844894849	0.01620437830722676	0.2973540180877787	4042.7175967115973	3.9216821397785817	3.5520327785973587	-0.5735735735735736	336.46475401579744	29.611361592703762	-65.52036796850743	344.0614509778937	1e+51	3.976950830676288e+34	2.642033293757161e+37	14578.555997158192	0.08047913779963166	0.2656803958602173	0.6087009584997087	1.5368198253622634	2.194558942632101	26.15058654076247	2.676693302112245e-12	3113.517392123624	5.653347662176488e-12
2751	./spectra/ph_sed_pwn_2751.txt	-28.63511889865862	3.538113762922991	6.081609299097716	0.08732614823440432	7.980433872732354	0.05507698701014353	0.16852199728358297	0.2743068666737931	19500.219401223232	1.5090082793416846	-3.81717312989329	0.4924924924924925	-91.29630472669668	-313.7220274243156	213.88290218838523	390.5155843196264	1e+51	2.5043122645113446e+34	3.6260822609556426e+39	539.575182897021	0.07363396101240849	0.44772806898852135	0.5609165606229929	1.512652691395567	2.638426410931396	32.729674175196074	2.888570521463245e-12	2040.4596957981162	1.0082660841107633e-11
2753	./spectra/ph_sed_pwn_2753.txt	-5.922467582120483	2.1943018958711233	7.262708415725371	0.06063520289025749	13.72543884979769	9.752336465815828e-06	7.036622923737639e-06	0.3126122689180492	65022.7485419522	-5.142167645982891	-1.4151877827534127	0.5255255255255256	186.57776185224662	157.91671422383817	134.9645001039039	279.22099873996535	1e+51	2.7372108612299137e+34	1.260410885208715e+41	13.27203301910125	0.13566936473449193	0.44621111718897466	0.3235912428844088	1.6814129876322634	2.6520662602522105	33.57059615702856	1.6282668365370205e-12	3075.2385003709637	8.575333396196157e-12
2754	./spectra/ph_sed_pwn_2754.txt	110.99726497310499	-0.11584887451261862	3.3734897434625073	0.08676080234037903	4.4556198555659305	0.5840884044793752	0.41981623117714684	0.6150170417849281	13626.335212648066	10.096549522980167	4.1597471985376515	-0.009009009009009028	224.1747582344384	-5.159868304455684	-27.99885015971633	225.9754014946195	1e+51	3.5141663592249686e+34	5.866190642510995e+36	40220.96763400589	0.0816497469241896	0.2075389502690861	0.16579599355368602	1.1909552209583425	2.5598934856241966	28.36066345985485	4.4898968791679534e-13	2605.212625276966	6.694162969040395e-13
2757	./spectra/ph_sed_pwn_2757.txt	-42.37096239880666	-0.13227328272502104	1.5184305643210427	0.010289577802595807	16.910249099244098	5.4017154010549216e-08	6.242046849695111e-08	0.3916953701810564	86727.81947862326	-3.9932077308281184	-11.396260840569296	-0.03903903903903905	-62.034640533164385	208.86879398387984	-108.67077818233558	243.4826641818956	1e+51	3.7260988724260234e+34	1.09149962004256e+39	205.42562961831538	0.14727650953637147	0.13553382060514266	0.207362773534576	1.537771044392863	2.5411781701104044	39.98101858076846	4.1497465184799455e-13	2606.979862625211	9.48987610977081e-13
